timestamp,TypPS,oxygen,pm10,cnt0_5,co,temperature,performance,co2,measuretime,so2,no2,cnt5,pm1,cnt1,dewpt,tvoc,pressure,cnt10,dCO2dt,sound_max,health,temperature_o2,cnt2_5,o3,humidity,dHdt,humidity_abs,sound,pm2_5,cnt0_3,n_danger,event,location
2023-07-01 02:40:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Good,Poor,Good,Good,Excellent,Excellent,Good,Good,Excellent,Good,Excellent,Excellent,1.0,normal,apartment
2023-07-01 02:42:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Moderate,Good,Good,Good,Excellent,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-07-01 02:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,apartment
2023-07-01 02:46:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Good,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Poor,Moderate,Good,Good,Excellent,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,2.0,normal,apartment
2023-07-01 02:48:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Good,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Moderate,Moderate,Good,Good,Excellent,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-07-01 02:50:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Good,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-07-01 02:52:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Good,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Good,Moderate,Good,Excellent,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-07-01 02:54:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Good,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Moderate,Moderate,Moderate,Good,Excellent,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-07-01 02:56:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Good,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Moderate,Moderate,Moderate,Good,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-07-01 02:58:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Good,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Moderate,Moderate,Moderate,Good,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,1.0,normal,apartment
